year,age_group,count
1981,30 to 34,68.6
1981,35 to 39,21.7
1981,40 and over,4.9
1982,Under 20,27.4
1982,20 to 24,101.6
1982,25 to 29,126.3
1982,30 to 34,69.1
1982,35 to 39,22.8
1982,40 and over,4.7
1983,Under 20,26.9
1983,20 to 24,98.6
1983,25 to 29,126.3
1983,30 to 34,71.5
1983,35 to 39,23.1
1983,40 and over,4.8
1984,Under 20,27.6
1984,20 to 24,95.6
1984,25 to 29,126
1984,30 to 34,73.6
1984,35 to 39,23.6
1984,40 and over,4.9
1985,Under 20,29.4
1985,20 to 24,94.6
1985,25 to 29,127.4
1985,30 to 34,76.4
1985,35 to 39,24.1
1985,40 and over,5
1986,Under 20,30.1
1986,20 to 24,92.7
1986,25 to 29,123.8
1986,30 to 34,78
1986,35 to 39,24.6
1986,40 and over,4.8
1987,Under 20,30.9
1987,20 to 24,93.3
1987,25 to 29,125.1
1987,30 to 34,81.2
1987,35 to 39,26.5
1987,40 and over,5.1
1988,Under 20,32.5
1988,20 to 24,94.6
1988,25 to 29,124
1988,30 to 34,82.4
1988,35 to 39,27.9
1988,40 and over,5.1
1989,Under 20,32
1989,20 to 24,91.7
1989,25 to 29,120.4
1989,30 to 34,83.2
1989,35 to 39,29.4
1989,40 and over,5.2
1990,Under 20,33.3
1990,20 to 24,91.4
1990,25 to 29,122.6
1990,30 to 34,86.9
1990,35 to 39,31.1
1990,40 and over,5.3
1991,Under 20,33
1991,20 to 24,89.3
1991,25 to 29,119.4
1991,30 to 34,86.7
1991,35 to 39,32.1
1991,40 and over,5.3
1992,Under 20,31.7
1992,20 to 24,86.1
1992,25 to 29,117.6
1992,30 to 34,87.4
1992,35 to 39,33.4
1992,40 and over,5.8
1993,Under 20,30.9
1993,20 to 24,82.5
1993,25 to 29,114.4
1993,30 to 34,87.4
1993,35 to 39,34.1
1993,40 and over,6.2
1994,Under 20,28.9
1994,20 to 24,79
1994,25 to 29,112.2
1994,30 to 34,89.4
1994,35 to 39,35.8
1994,40 and over,6.4
1995,Under 20,28.5
1995,20 to 24,76.4
1995,25 to 29,108.4
1995,30 to 34,88.3
1995,35 to 39,36.3
1995,40 and over,6.8
1996,Under 20,29.7
1996,20 to 24,77
1996,25 to 29,106.6
1996,30 to 34,89.8
1996,35 to 39,37.5
1996,40 and over,7.2
1997,Under 20,30.2
1997,20 to 24,76
1997,25 to 29,104.3
1997,30 to 34,89.8
1997,35 to 39,39.4
1997,40 and over,7.6
1998,Under 20,30.9
1998,20 to 24,74.9
1998,25 to 29,101.5
1998,30 to 34,90.6
1998,35 to 39,40.4
1998,40 and over,7.9
1999,Under 20,30.9
1999,20 to 24,73
1999,25 to 29,98.3
1999,30 to 34,89.6
1999,35 to 39,40.6
1999,40 and over,8.1
2000,Under 20,29.3
2000,20 to 24,70
2000,25 to 29,94.3
2000,30 to 34,87.9
2000,35 to 39,41.4
2000,40 and over,8.3
2001,Under 20,28
2001,20 to 24,69
2001,25 to 29,91.7
2001,30 to 34,88
2001,35 to 39,41.5
2001,40 and over,8.8
2002,Under 20,27.1
2002,20 to 24,68.6
2002,25 to 29,91.2
2002,30 to 34,89.8
2002,35 to 39,43
2002,40 and over,9.1
2003,Under 20,26.9
2003,20 to 24,70.5
2003,25 to 29,95.3
2003,30 to 34,94.8
2003,35 to 39,46.4
2003,40 and over,9.8
2004,Under 20,26.9
2004,20 to 24,71.8
2004,25 to 29,96.5
2004,30 to 34,99.3
2004,35 to 39,48.8
2004,40 and over,10.4
2005,Under 20,26.4
2005,20 to 24,70.5
2005,25 to 29,96
2005,30 to 34,99.9
2005,35 to 39,50.3
2005,40 and over,10.8
2006,Under 20,26.6
2006,20 to 24,72.1
2006,25 to 29,97.9
2006,30 to 34,103.4
2006,35 to 39,53.6
2006,40 and over,11.4
2007,Under 20,25.9
2007,20 to 24,72.6
2007,25 to 29,100.1
2007,30 to 34,107.8
2007,35 to 39,56.5
2007,40 and over,12
2008,Under 20,25.7
2008,20 to 24,74.1
2008,25 to 29,103
2008,30 to 34,109.8
2008,35 to 39,57.8
2008,40 and over,12.6
2009,Under 20,24.8
2009,20 to 24,73.9
2009,25 to 29,102.4
2009,30 to 34,108.7
2009,35 to 39,58.1
2009,40 and over,12.9
2010,Under 20,23.4
2010,20 to 24,74.1
2010,25 to 29,104.1
2010,30 to 34,112.3
2010,35 to 39,60.3
2010,40 and over,13.4
2011,Under 20,21.2
2011,20 to 24,71.6
2011,25 to 29,104.3
2011,30 to 34,111.9
2011,35 to 39,62.1
2011,40 and over,14.2
2012,Under 20,19.9
2012,20 to 24,69.9
2012,25 to 29,105.1
2012,30 to 34,113.9
2012,35 to 39,63.7
2012,40 and over,14.6
2013,Under 20,17.4
2013,20 to 24,63.7
2013,25 to 29,101.5
2013,30 to 34,109.4
2013,35 to 39,62.9
2013,40 and over,14.5
2014,Under 20,15.6
2014,20 to 24,60.1
2014,25 to 29,100.8
2014,30 to 34,110.4
2014,35 to 39,64.5
2014,40 and over,14.7
2015,Under 20,14.5
2015,20 to 24,58
2015,25 to 29,100.8
2015,30 to 34,111
2015,35 to 39,66
2015,40 and over,15.2
2016,Under 20,13.7
2016,20 to 24,55.8
2016,25 to 29,98.8
2016,30 to 34,112
2016,35 to 39,66.9
2016,40 and over,15.9
2017,Under 20,12.7
2017,20 to 24,53.7
2017,25 to 29,95.3
2017,30 to 34,109.8
2017,35 to 39,65.1
2017,40 and over,16.1
2018,Under 20,11.9
2018,20 to 24,50.5
2018,25 to 29,91.3
2018,30 to 34,106.8
2018,35 to 39,63.4
2018,40 and over,16.1
2019,Under 20,11.2
2019,20 to 24,48.4
2019,25 to 29,88.3
2019,30 to 34,104.7
2019,35 to 39,61.9
2019,40 and over,16.5
