LoanAmount,City,State,Zip,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,DaysApprovedSinceMay1st
148234.0,Albuquerque,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,13.0,2020-04-30,Bank of the West,NM-01,29
148200.0,HOBBS,NM,88241,Partnership,Unanswered,Male Owned,Non-Veteran,N,7.0,2020-04-08,First American Bank,NM-02,7
148109.87,SANTA FE,NM,87505,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,33.0,2020-06-30,Rural Community Assistance Corporation,NM-03,90
148100.0,ALBUQUERQUE,NM,87111,Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-08,First-Citizens Bank & Trust Company,NM-01,7
148000.0,FARMINGTON,NM,87401,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,36.0,2020-04-10,Four Corners Community Bank,NM-03,9
147955.0,GRANTS,NM,87020,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,40.0,2020-04-29,"Harvest Small Business Finance, LLC",NM-02,28
147900.0,CHAPARRAL,NM,88081,Subchapter S Corporation,White,Male Owned,Non-Veteran,N,17.0,2020-04-10,First American Bank,NM-02,9
147876.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-03,32
147746.42,MESILLA PARK,NM,88047,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,60.0,2020-04-28,Pioneer Bank,NM-02,27
147708.5,Las Cruces,NM,88011,Corporation,White,Male Owned,Non-Veteran,N,28.0,2020-04-15,LCA Bank Corporation,NM-02,14
147700.0,ROSWELL,NM,88201,Corporation,White,Male Owned,Veteran,N,17.0,2020-04-15,First American Bank,NM-02,14
147485.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,18.0,2020-04-27,Four Corners Community Bank,NM-03,26
147448.0,SPRINGER,NM,87747,Corporation,Unanswered,Male Owned,Non-Veteran,N,3.0,2020-04-09,InBank,NM-03,8
147445.0,Red River,NM,87558,Corporation,Unanswered,Male Owned,Veteran,N,0.0,2020-05-03,Celtic Bank Corporation,NM-03,32
147377.0,Albuquerque,NM,87105,Corporation,Unanswered,Unanswered,Unanswered,N,25.0,2020-04-30,Bank of the West,NM-01,29
147317.5,Santa Fe,NM,87501,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,15.0,2020-07-28,"Prestamos CDFI, LLC",NM-03,118
147300.0,ALBUQUERQUE,NM,87111,Corporation,Unanswered,Male Owned,Non-Veteran,N,12.0,2020-04-10,New Mexico Bank & Trust,NM-01,9
147300.0,FARMINGTON,NM,87402,Corporation,Unanswered,Male Owned,Non-Veteran,N,19.0,2020-04-15,Western Commerce Bank,NM-03,14
147260.0,San Jon,NM,88434,Corporation,Unanswered,Male Owned,Veteran,N,21.0,2020-04-27,Everyone's FCU,NM-03,26
147200.0,ESPANOLA,NM,87532,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,22.0,2020-04-14,"BOKF, National Association",NM-03,13
147100.0,CARLSBAD,NM,88220,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,N,10.0,2020-04-29,CNB Bank,NM-02,28
147100.0,SANTA TERESA,NM,88008,Corporation,Hispanic,Female Owned,Non-Veteran,N,14.0,2020-04-07,WestStar Bank,NM-02,6
146950.0,CLOVIS,NM,88101,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,21.0,2020-04-08,The Bank of Clovis,NM-03,7
146900.0,ALBUQUERQUE,NM,87109,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,8.0,2020-04-14,"BOKF, National Association",NM-01,13
146900.0,LAS CRUCES,NM,88011,Corporation,Hispanic,Male Owned,Non-Veteran,N,44.0,2020-04-15,CNB Bank,NM-02,14
146822.0,ALBUQUERQUE,NM,87110,Subchapter S Corporation,Hispanic,Male Owned,Unanswered,N,22.0,2020-04-07,Main Bank,NM-01,6
146800.0,ROSWELL,NM,88201,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,N,15.0,2020-04-10,First American Bank,NM-02,9
146766.24,RIO RANCHO,NM,87124,Corporation,Unanswered,Male Owned,Unanswered,N,0.0,2020-04-27,"Washington Federal Bank, National Association",NM-03,26
146700.0,ALBUQUERQUE,NM,87107,Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-04-10,New Mexico Bank & Trust,NM-01,9
146665.0,ARTESIA,NM,88210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,29.0,2020-05-01,"JPMorgan Chase Bank, National Association",NM-02,30
146500.0,LOS ALAMOS,NM,87544,Partnership,Unanswered,Unanswered,Unanswered,N,8.0,2020-04-15,Enterprise Bank & Trust,NM-03,14
146487.0,HOBBS,NM,88242,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,5.0,2020-07-14,Intuit Financing Inc.,NM-02,104
146400.0,ALAMOGORDO,NM,88310,Subchapter S Corporation,White,Male Owned,Non-Veteran,N,17.0,2020-04-13,First National Bank,NM-02,12
146300.0,GALLUP,NM,87301,Corporation,Unanswered,Unanswered,Unanswered,N,22.0,2020-04-29,The Citizens Bank,NM-03,28
146200.0,CARLSBAD,NM,88220,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,19.0,2020-04-15,CNB Bank,NM-02,14
146100.0,CORRALES,NM,87048,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-15,First-Citizens Bank & Trust Company,NM-03,14
146100.0,SANTA FE,NM,87505,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,20.0,2020-04-12,New Mexico Bank & Trust,NM-03,11
146100.0,ALBUQUERQUE,NM,87123,Limited  Liability Company(LLC),Hispanic,Male Owned,Unanswered,N,9.0,2020-04-15,"BOKF, National Association",NM-01,14
146017.0,ALBUQUERQUE,NM,87112,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,27.0,2020-04-30,"U.S. Bank, National Association",NM-01,29
145985.2,Roswell,NM,88203,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-04-27,"Washington Federal Bank, National Association",NM-02,26
145900.0,LOVINGTON,NM,88260,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-13,Lea County State Bank,NM-02,12
145888.0,ALBUQUERQUE,NM,87111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-06-12,"Wells Fargo Bank, National Association",NM-01,72
145832.0,ROSWELL,NM,88202,Corporation,Unanswered,Unanswered,Unanswered,N,12.0,2020-04-15,Pioneer Bank,NM-02,14
145810.0,ALBUQUERQUE,NM,87104,Corporation,Unanswered,Unanswered,Unanswered,N,24.0,2020-04-14,"U.S. Bank, National Association",NM-01,13
145700.0,FARMINGTON,NM,87401,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,16.0,2020-04-03,Four Corners Community Bank,NM-03,2
145687.0,PORTALES,NM,88130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,25.0,2020-05-03,"U.S. Bank, National Association",NM-03,32
145650.0,Albuquerque,NM,87113,Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-15,"Sunflower Bank, National Association",NM-01,14
145600.0,ARTESIA,NM,88210,Corporation,Unanswered,Unanswered,Unanswered,N,36.0,2020-04-10,First American Bank,NM-02,9
145518.0,SANTA FE,NM,87505,Corporation,Unanswered,Male Owned,Unanswered,N,22.0,2020-04-15,Accion,NM-03,14
145500.0,ALBUQUERQUE,NM,87104,Corporation,Unanswered,Female Owned,Unanswered,N,9.0,2020-04-10,New Mexico Bank & Trust,NM-01,9
145500.0,FARMINGTON,NM,87401,Corporation,Unanswered,Male Owned,Unanswered,N,12.0,2020-04-11,The Citizens Bank,NM-03,10
145500.0,CAPITAN,NM,88316,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-30,First American Bank,NM-02,29
145200.0,ALBUQUERQUE,NM,87110,Corporation,Unanswered,Unanswered,Unanswered,N,60.0,2020-04-28,"BOKF, National Association",NM-01,27
145200.0,SANTA FE,NM,87501,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,25.0,2020-04-29,"BOKF, National Association",NM-03,28
145200.0,SACRAMENTO,NM,88347,Professional Association,Unanswered,Unanswered,Unanswered,N,24.0,2020-04-08,First National Bank,NM-02,7
145162.0,RIO RANCHO,NM,87144,Corporation,Unanswered,Unanswered,Unanswered,N,21.0,2020-05-08,Accion,NM-03,37
145135.0,Santa fe,NM,87507,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,25.0,2020-04-11,"Sunflower Bank, National Association",NM-03,10
145100.0,HOBBS,NM,88240,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,8.0,2020-04-14,PlainsCapital Bank,NM-02,13
145000.0,ALBUQUERQUE,NM,87107,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,16.0,2020-07-29,Intuit Financing Inc.,NM-01,119
145000.0,ALBUQUERQUE,NM,87107,Corporation,Unanswered,Unanswered,Unanswered,N,24.0,2020-05-06,Four Corners Community Bank,NM-01,35
145000.0,Albuquerque,NM,87193,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,10.0,2020-04-14,US Eagle FCU,NM-03,13
145000.0,SANTA FE,NM,87507,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,26.0,2020-04-28,Enterprise Bank & Trust,NM-03,27
145000.0,ALBUQUERQUE,NM,87111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,N,16.0,2020-04-28,New Mexico Bank & Trust,NM-01,27
144900.0,ROSWELL,NM,88203,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,16.0,2020-04-11,First American Bank,NM-02,10
144824.0,LAS CRUCES,NM,88005,Corporation,Unanswered,Female Owned,Unanswered,N,25.0,2020-04-07,Western Heritage Bank,NM-02,6
144776.0,ALBUQUERQUE,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-05-28,"Bank of America, National Association",NM-01,57
144699.0,RED RIVER,NM,87558,Corporation,White,Male Owned,Non-Veteran,N,3.0,2020-04-11,InBank,NM-03,10
144605.0,SANTA FE,NM,87501,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-12,"Sunflower Bank, National Association",NM-03,11
144515.0,Albuquerque,NM,87108,Corporation,Unanswered,Unanswered,Unanswered,N,13.0,2020-05-18,"Kabbage, Inc.",NM-01,47
144500.0,SANTA FE,NM,87507,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-04-28,New Mexico Bank & Trust,NM-03,27
144400.0,SANTA FE,NM,87505,Corporation,Unanswered,Unanswered,Unanswered,N,8.0,2020-04-15,Enterprise Bank & Trust,NM-03,14
144292.0,ALBUQUERQUE,NM,87102,Sole Proprietorship,Unanswered,Male Owned,Unanswered,N,19.0,2020-04-27,Nusenda FCU,NM-01,26
144292.0,LAS CRUCES,NM,88012,Corporation,Unanswered,Unanswered,Unanswered,N,19.0,2020-04-08,Citizens Bank of Las Cruces,NM-02,7
144280.0,ALBUQUERQUE,NM,87107,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,31.0,2020-05-03,"U.S. Bank, National Association",NM-01,32
144225.0,Albuquerque,NM,87102,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17.0,2020-04-29,Bank of the West,NM-01,28
144200.0,BERNALILLO,NM,87004,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,12.0,2020-04-08,First American Bank,NM-03,7
144100.0,ALBUQUERQUE,NM,87109,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-30,First-Citizens Bank & Trust Company,NM-01,29
144031.0,ALBUQUERQUE,NM,87110,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
144025.0,LAS CRUCES,NM,88011,Corporation,Unanswered,Unanswered,Unanswered,N,8.0,2020-05-03,"Bank of America, National Association",NM-02,32
143922.0,ROSWELL,NM,88203,Corporation,Unanswered,Male Owned,Non-Veteran,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-02,32
143688.0,SANTA FE,NM,87508,Corporation,Unanswered,Female Owned,Non-Veteran,N,20.0,2020-05-03,"U.S. Bank, National Association",NM-03,32
143600.0,CLOVIS,NM,88101,Corporation,Unanswered,Unanswered,Unanswered,N,21.0,2020-04-06,Amarillo National Bank,NM-03,5
143535.0,ALBUQUERQUE,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,16.0,2020-04-28,Southwest Capital Bank,NM-01,27
143522.5,ALBUQUERQUE,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-04-10,Century Bank,NM-01,9
143387.5,SANTA FE,NM,87505,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,N,3.0,2020-04-11,Century Bank,NM-03,10
143355.0,ROSWELL,NM,88201,Corporation,White,Female Owned,Unanswered,N,15.0,2020-04-06,James Polk Stone Community Bank,NM-02,5
143300.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,22.0,2020-04-08,First American Bank,NM-01,7
143270.0,SANTA FE,NM,87505,Corporation,Hispanic,Unanswered,Unanswered,N,23.0,2020-04-15,Century Bank,NM-03,14
143245.0,SOCORRO,NM,87801,Corporation,Unanswered,Unanswered,Unanswered,N,25.0,2020-04-09,First State Bank,NM-02,8
143229.0,LAS CRUCES,NM,88005,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,14.0,2020-04-06,Citizens Bank of Las Cruces,NM-02,5
143200.0,EUNICE,NM,88231,Limited  Liability Company(LLC),White,Female Owned,Unanswered,N,12.0,2020-04-03,Western Commerce Bank,NM-02,2
143200.0,HOBBS,NM,88240,Corporation,White,Female Owned,Veteran,N,16.0,2020-04-07,Lea County State Bank,NM-02,6
143100.0,SANTA FE,NM,87501,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-13,New Mexico Bank & Trust,NM-03,12
143080.5,SANTA FE,NM,87505,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,N,3.0,2020-04-15,Century Bank,NM-03,14
143072.0,LAS CRUCES,NM,88005,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,N,22.0,2020-04-27,Pioneer Bank,NM-02,26
142917.0,PERALTA,NM,87042,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-05-03,"U.S. Bank, National Association",NM-02,32
142893.0,Hobbs,NM,88240,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,10.0,2020-05-03,Cross River Bank,NM-02,32
142800.0,ALBUQUERQUE,NM,87106,Corporation,Unanswered,Unanswered,Unanswered,N,7.0,2020-04-15,New Mexico Bank & Trust,NM-01,14
142753.85,Hobbs,NM,88242,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,0.0,2020-05-01,"Washington Federal Bank, National Association",NM-02,30
142692.0,BELEN,NM,87002,Corporation,Unanswered,Unanswered,Unanswered,N,0.0,2020-05-15,"Wells Fargo Bank, National Association",NM-02,44
142637.0,Albuquerque,NM,87110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,13.0,2020-05-01,Accion,NM-01,30
142626.9,ALBUQUERQUE,NM,87114,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-04-13,Century Bank,NM-01,12
142621.0,Placitas,NM,87043,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,24.0,2020-05-05,Accion,NM-01,34
142600.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-07,Four Corners Community Bank,NM-03,6
142502.5,Albuequerque,NM,87121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,24.0,2020-04-29,Riverview Bank,NM-01,28
142500.0,SANTA FE,NM,87508,Corporation,Unanswered,Female Owned,Non-Veteran,N,24.0,2020-04-10,Enterprise Bank & Trust,NM-03,9
142500.0,ALBUQUERQUE,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,9.0,2020-04-11,New Mexico Bank & Trust,NM-01,10
142500.0,FARMINGTON,NM,87401,Corporation,Unanswered,Unanswered,Unanswered,N,12.0,2020-04-04,The Citizens Bank,NM-03,3
142472.5,ALCALDE,NM,87511,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,N,3.0,2020-04-15,Century Bank,NM-03,14
142347.0,LAS CRUCES,NM,88005,Professional Association,Unanswered,Male Owned,Unanswered,N,16.0,2020-04-14,"Sunflower Bank, National Association",NM-02,13
142258.0,ALBUQUERQUE,NM,87109,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,12.0,2020-04-13,Bank of the West,NM-01,12
142216.59,LAS CRUCES,NM,88001,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,20.0,2020-04-07,Citizens Bank of Las Cruces,NM-02,6
142200.0,SOCORRO,NM,87801,Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-28,"Austin Bank, Texas National Association",NM-02,27
142157.5,SANTA FE,NM,87507,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,21.0,2020-04-28,State Empl CU,NM-03,27
142118.0,ALBUQUERQUE,NM,87112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,18.0,2020-05-03,"Bank of America, National Association",NM-01,32
142100.0,SANTA FE,NM,87501,Corporation,Unanswered,Female Owned,Unanswered,N,29.0,2020-04-15,Enterprise Bank & Trust,NM-03,14
142100.0,Albuquerque,NM,87107,Corporation,Unanswered,Female Owned,Unanswered,N,11.0,2020-04-10,US Eagle FCU,NM-01,9
142100.0,SANTA FE,NM,87507,Corporation,Hispanic,Male Owned,Unanswered,N,6.0,2020-04-13,New Mexico Bank & Trust,NM-03,12
142078.0,LAS CRUCES,NM,88011,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-02,32
142051.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
142000.0,ALBUQUERQUE,NM,87109,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,14.0,2020-04-28,New Mexico Bank & Trust,NM-01,27
142000.0,SANTA FE,NM,87507,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,20.0,2020-04-15,New Mexico Bank & Trust,NM-03,14
141939.0,ALBUQUERQUE,NM,87107,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,40.0,2020-05-04,BBVA USA,NM-01,33
141937.5,ALBUQUERQUE,NM,87111,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,N,13.0,2020-04-07,Main Bank,NM-01,6
141937.5,ALBUQUERQUE,NM,87112,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-04-15,Century Bank,NM-01,14
141935.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,3.0,2020-05-03,"Wells Fargo Bank, National Association",NM-01,32
141900.0,LAS CRUCES,NM,88001,Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-11,First American Bank,NM-02,10
141854.82,SANTA FE,NM,87501,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,26.0,2020-04-30,Century Bank,NM-03,29
141700.0,SANTA FE,NM,87501,Corporation,Unanswered,Unanswered,Unanswered,N,35.0,2020-04-12,New Mexico Bank & Trust,NM-03,11
141685.0,CHAPARRAL,NM,88081,Corporation,Hispanic,Male Owned,Veteran,N,44.0,2020-05-20,WestStar Bank,NM-02,49
141600.0,ALBUQUERQUE,NM,87102,Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-06-11,"BOKF, National Association",NM-01,71
141600.0,ALBUQUERQUE,NM,87109,Corporation,Unanswered,Unanswered,Unanswered,N,10.0,2020-04-13,First-Citizens Bank & Trust Company,NM-01,12
141600.0,ALBUQUERQUE,NM,87113,Corporation,Unanswered,Unanswered,Unanswered,N,32.0,2020-06-18,Accion,NM-01,78
141580.0,HOBBS,NM,88240,Corporation,Unanswered,Male Owned,Non-Veteran,N,22.0,2020-04-11,First United Bank,NM-02,10
141575.07,SANTA FE,NM,87501,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-10,"Washington Federal Bank, National Association",NM-03,9
141532.0,Albuquerque,NM,87121,Corporation,Unanswered,Unanswered,Unanswered,N,20.0,2020-04-28,Accion,NM-01,27
141416.0,ALBUQUERQUE,NM,87108,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-05-03,"Bank of America, National Association",NM-01,32
141325.0,LAS CRUCES,NM,88005,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,22.0,2020-04-08,Citizens Bank of Las Cruces,NM-02,7
141300.0,CLIFF,NM,88028,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,N,15.0,2020-04-09,First American Bank,NM-02,8
141300.0,TAOS,NM,87571,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,56.0,2020-04-15,Centinel Bank of Taos,NM-03,14
141247.0,PORTALES,NM,88130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,31.0,2020-06-27,"U.S. Bank, National Association",NM-03,87
141200.0,ARTESIA,NM,88210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,N,12.0,2020-04-11,First American Bank,NM-02,10
141200.0,ARTESIA,NM,88210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,N,5.0,2020-04-03,Western Commerce Bank,NM-02,2
141200.0,TAOS,NM,87571,Subchapter S Corporation,White,Male Owned,Unanswered,N,34.0,2020-04-27,Centinel Bank of Taos,NM-03,26
141127.0,ALBUQUERQUE,NM,87106,Corporation,White,Female Owned,Non-Veteran,N,11.0,2020-04-05,Southwest Capital Bank,NM-01,4
141100.0,SANTA FE,NM,87501,Corporation,Unanswered,Unanswered,Unanswered,N,9.0,2020-04-06,BancFirst,NM-03,5
141100.0,ALBUQUERQUE,NM,87106,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,N,25.0,2020-04-06,First American Bank,NM-01,5
141093.99,SANTA FE,NM,87507,Corporation,Unanswered,Unanswered,Unanswered,N,17.0,2020-04-14,"Washington Federal Bank, National Association",NM-03,13
141036.0,ALBUQUERQUE,NM,87114,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,N,20.0,2020-04-27,Nusenda FCU,NM-01,26
140984.0,SANTA FE,NM,87506,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,13.0,2020-04-27,Nusenda FCU,NM-03,26
140910.0,Las Cruces,NM,88001,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,N,30.0,2020-04-28,First New Mexico Bank Las Cruces,NM-02,27
140900.0,HOBBS,NM,88240,Corporation,Unanswered,Unanswered,Unanswered,N,33.0,2020-04-29,BancFirst,NM-02,28
140900.0,BERNALILLO,NM,87004,Corporation,Unanswered,Unanswered,Unanswered,N,11.0,2020-04-28,New Mexico Bank & Trust,NM-03,27
140870.0,Albuquerque,NM,87102,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,N,7.0,2020-05-06,Cross River Bank,NM-01,35
