rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults
28,7015.90304556725,12290.975047769,201 to 250,1919 to 1944,Owner-occupied,5,purpose built flat,North West,England,2
29,16656.4460588546,14588.6652076754,151 to 200,Post 1999,Owner-occupied,6,bungalow,West Midlands,England,5 or more
30,11884.2199660726,36800.6302186019,50 or less,1965 to 1983,Council/Housing Association,5,converted flat,South East,England,5 or more
31,16634.657710287,26050.4599140298,201 to 250,1965 to 1983,Owner-occupied,6,end terrace,West Midlands,England,5 or more
32,17717.7859800485,36852.8424920356,50 or less,1945 to 1964,Unknown,5,end terrace,East Midlands,England,1
33,19146.418820273,54486.6309993704,51 to 100,Post 1999,Council/Housing Association,5,end terrace,Wales,Wales,2
34,12018.4171800455,34104.2244214659,Over 250,1984 to 1992,Owner-occupied,6,purpose built flat,York and Humber,England,5 or more
35,16848.9687447636,32923.3717166035,Over 250,Pre 1919,Owner-occupied,5,mid terraced,York and Humber,England,2
36,7215.51777242552,8134.63311224492,51 to 100,Pre 1919,Council/Housing Association,4,end terrace,East of England,England,5 or more
37,11258.1297413509,22622.2689856276,50 or less,1919 to 1944,Unknown,5,purpose built flat,South East,England,2
38,10972.0108393555,24441.9103943,50 or less,1919 to 1944,Privately rented,5,end terrace,South East,England,4
39,4194.24010085437,29555.712587344,Over 250,1965 to 1983,Privately rented,3,bungalow,London,England,4
40,14818.4843128591,38131.0510260374,51 to 100,1993 to 1999,Privately rented,5,mid terraced,London,England,3
41,15553.7617230053,34462.7963384472,50 or less,Post 1999,Unknown,6,semi-detached,East of England,England,2
42,13095.7358522078,33600.9118222356,Over 250,1945 to 1964,Owner-occupied,4,unknown,London,England,3
43,17946.4834714085,33994.0574802092,101 to 150,1965 to 1983,Council/Housing Association,6,end terrace,London,England,2
44,11508.0242736053,30639.5617829584,51 to 100,Pre 1919,Owner-occupied,5,mid terraced,West Midlands,England,3
45,8727.60116824862,30159.8863628966,Over 250,1945 to 1964,Unknown,4,converted flat,Wales,Wales,1
46,16535.2866788414,39500.5454480018,201 to 250,1984 to 1992,Council/Housing Association,7,purpose built flat,London,England,5 or more
47,11140.576682596,47085.3140408878,51 to 100,1993 to 1999,Privately rented,5,end terrace,North West,England,3
48,20919.8727862247,29211.7541550465,151 to 200,Post 1999,Council/Housing Association,5,semi-detached,North East,England,5 or more
49,12790.4613670565,45405.2438435647,201 to 250,1965 to 1983,Privately rented,6,mid terraced,West Midlands,England,1
50,17502.7331007715,42530.3034460783,50 or less,Post 1999,Owner-occupied,6,end terrace,West Midlands,England,2
51,16056.3054147154,20377.1689924785,Over 250,1965 to 1983,Unknown,5,end terrace,South East,England,2
52,11260.1737472941,27522.3769190301,201 to 250,1945 to 1964,Owner-occupied,3,bungalow,Wales,Wales,4
53,21493.2404419401,34288.7432939086,101 to 150,Post 1999,Council/Housing Association,5,converted flat,South East,England,1
54,17446.6218797044,27471.1673218253,50 or less,Post 1999,Council/Housing Association,6,purpose built flat,London,England,4
55,15050.9582334504,,201 to 250,1984 to 1992,Privately rented,5,end terrace,London,England,3
56,15857.9399356025,30013.4834446452,151 to 200,1919 to 1944,Unknown,6,end terrace,Unknown,Unknown,5 or more
57,17607.4888908055,32279.5550641521,Over 250,1993 to 1999,Unknown,5,end terrace,South West,England,5 or more
58,15050.9872311235,30812.9142805574,201 to 250,1919 to 1944,Privately rented,6,bungalow,Unknown,Unknown,2
59,1685.19675315559,1417.55478683643,151 to 200,Pre 1919,Council/Housing Association,5,converted flat,York and Humber,England,2
60,15894.5530293685,38797.3982544052,151 to 200,Post 1999,Unknown,5,detached,South West,England,1
61,13067.1478570445,38868.6364095194,151 to 200,1965 to 1983,Unknown,6,converted flat,West Midlands,England,4
62,15461.9250517752,41628.1683164264,Over 250,1919 to 1944,Privately rented,6,unknown,York and Humber,England,3
63,17181.8418246467,43143.3252399659,201 to 250,1919 to 1944,Unknown,5,purpose built flat,West Midlands,England,4
64,20728.9021624181,41296.1542409897,Over 250,Pre 1919,Council/Housing Association,7,mid terraced,West Midlands,England,5 or more
65,11506.1751008152,44083.1043820168,151 to 200,1984 to 1992,Owner-occupied,5,mid terraced,York and Humber,England,2
66,20309.2395235728,30812.8097189744,Over 250,1984 to 1992,Owner-occupied,8,semi-detached,South East,England,5 or more
67,16114.7410786933,23417.1920981407,Over 250,1919 to 1944,Unknown,7,converted flat,South East,England,2
68,19163.3962613014,41043.5412908928,201 to 250,Post 1999,Privately rented,6,end terrace,South West,England,2
69,18650.4529086815,41503.9420588471,151 to 200,1945 to 1964,Unknown,5,converted flat,West Midlands,England,4
70,17786.7714781892,29545.9736610126,50 or less,Post 1999,Council/Housing Association,4,purpose built flat,North West,England,4
71,10137.88802113,29347.869240197,201 to 250,Post 1999,Privately rented,4,mid terraced,York and Humber,England,2
72,14270.7192701532,36091.5852114435,Over 250,1984 to 1992,Owner-occupied,6,end terrace,East Midlands,England,5 or more
73,17363.3973504022,39664.0256122985,50 or less,1919 to 1944,Unknown,5,end terrace,South West,England,1
74,10527.8464336458,37586.9289435679,50 or less,1919 to 1944,Council/Housing Association,8,end terrace,South East,England,3
75,12305.2880062724,39867.2862279413,50 or less,1984 to 1992,Unknown,5,end terrace,South West,England,4
76,17178.6462902846,13219.9582867665,101 to 150,Pre 1919,Unknown,6,mid terraced,South East,England,5 or more
77,17989.1754743982,52888.2035949747,201 to 250,1984 to 1992,Council/Housing Association,6,end terrace,London,England,5 or more
78,16669.8403625602,39695.5626466541,151 to 200,1945 to 1964,Unknown,4,detached,East of England,England,2
79,10819.8342543467,24342.1916390899,50 or less,Pre 1919,Council/Housing Association,4,converted flat,East Midlands,England,3
80,9892.72860314271,18341.0810987131,50 or less,1945 to 1964,Privately rented,6,mid terraced,South East,England,5 or more
81,21217.7518300663,48369.3082064786,151 to 200,1984 to 1992,Privately rented,5,semi-detached,East Midlands,England,2
82,15780.3725833052,37623.7085326862,Over 250,1945 to 1964,Owner-occupied,5,purpose built flat,South East,England,5 or more
83,15042.6297812997,43913.4457070189,Over 250,1945 to 1964,Owner-occupied,5,purpose built flat,West Midlands,England,2
84,14135.3014840476,32375.7550323122,Over 250,1965 to 1983,Unknown,4,end terrace,South East,England,2
85,9481.34415752352,26083.6013685389,Over 250,1919 to 1944,Privately rented,4,purpose built flat,Wales,Wales,2
86,17313.4652218974,57023.2656195141,Over 250,1965 to 1983,Unknown,5,end terrace,East Midlands,England,5 or more
87,13717.8636971733,13489.1156156431,151 to 200,1965 to 1983,Owner-occupied,5,bungalow,York and Humber,England,4
88,13869.2458974149,36328.9432178476,50 or less,1965 to 1983,Owner-occupied,5,mid terraced,Wales,Wales,1
89,18707.3005577403,41031.4960278668,101 to 150,1945 to 1964,Unknown,5,converted flat,London,England,5 or more
90,18225.2135151263,41059.1863274141,201 to 250,1919 to 1944,Owner-occupied,5,purpose built flat,North East,England,2
91,20697.3562420395,44611.4536908656,101 to 150,1984 to 1992,Owner-occupied,6,semi-detached,York and Humber,England,2
92,12593.9403012157,122394,Over 250,1984 to 1992,Owner-occupied,4,mid terraced,East Midlands,England,1
93,17478.9881078485,47132.7379165117,Over 250,1945 to 1964,Council/Housing Association,6,detached,London,England,2
94,20691.0879292595,16435.4099295547,50 or less,Post 1999,Owner-occupied,7,semi-detached,North East,England,3
95,9842.80368566556,21182.8662544582,50 or less,1945 to 1964,Council/Housing Association,6,unknown,South East,England,5 or more
96,10926.3757875455,28670.8394074758,50 or less,1945 to 1964,Council/Housing Association,4,mid terraced,London,England,5 or more
97,9754.50040377126,30152.3455815299,51 to 100,1945 to 1964,Unknown,6,end terrace,East Midlands,England,3
98,8332.80022222498,31034.1870624359,151 to 200,1919 to 1944,Council/Housing Association,5,purpose built flat,East Midlands,England,1
99,15006.2362443151,39775.1909326987,50 or less,1984 to 1992,Privately rented,7,converted flat,East Midlands,England,4
100,17493.6525774106,22130.5071058826,51 to 100,1965 to 1983,Council/Housing Association,7,semi-detached,London,England,5 or more
101,19869.193794126,38645.7572765226,Over 250,1919 to 1944,Unknown,5,semi-detached,Wales,Wales,2
102,19192.0075125988,42809.1002669362,201 to 250,1984 to 1992,Owner-occupied,4,semi-detached,South East,England,5 or more
103,10312.3314898445,41579.8850497753,101 to 150,Pre 1919,Owner-occupied,6,converted flat,South West,England,5 or more
104,22675.7076721786,40274.6838900876,Over 250,1993 to 1999,Privately rented,5,mid terraced,East Midlands,England,2
105,11769.8847455395,45567.2346530622,101 to 150,Pre 1919,Unknown,5,detached,South West,England,3
106,15116.8031466393,31269.2744993477,51 to 100,1965 to 1983,Privately rented,5,bungalow,North West,England,3
107,12830.3434067991,31188.2839591992,Over 250,1919 to 1944,Council/Housing Association,5,mid terraced,Wales,Wales,4
108,14129.4528054649,34430.7141123841,201 to 250,Pre 1919,Privately rented,6,converted flat,East Midlands,England,5 or more
109,15475.2580489111,29559.2640745306,50 or less,1965 to 1983,Owner-occupied,4,end terrace,North West,England,4
110,15175.076132428,40655.492405558,Over 250,1919 to 1944,Unknown,5,detached,London,England,3
111,14550.9619211414,20763.0832145285,101 to 150,1919 to 1944,Privately rented,6,end terrace,South West,England,5 or more
112,15130.8505187459,33862.7653220336,51 to 100,Post 1999,Privately rented,6,converted flat,North West,England,4
113,12556.685933928,26330.0471064116,151 to 200,1919 to 1944,Privately rented,5,converted flat,South West,England,2
114,12473.843206163,26185.9271167164,Over 250,1965 to 1983,Unknown,4,mid terraced,York and Humber,England,2
115,7458.6849669555,37137.8792330364,51 to 100,Pre 1919,Owner-occupied,4,semi-detached,West Midlands,England,1
116,13001.984607137,41664.2086075806,151 to 200,Post 1999,Council/Housing Association,4,end terrace,Wales,Wales,1
117,12438.8103527946,46210.6702904409,50 or less,Pre 1919,Unknown,5,end terrace,East of England,England,3
118,26376.1015571291,42510.1483918328,201 to 250,1919 to 1944,Owner-occupied,5,mid terraced,South West,England,1
119,8753.13130636003,27950.3539084258,51 to 100,Pre 1919,Council/Housing Association,4,unknown,East Midlands,England,5 or more
120,15254.3609663805,19530.242207702,51 to 100,1984 to 1992,Unknown,6,purpose built flat,North East,England,2
121,8183.27777164042,23456.2855093419,Over 250,Pre 1919,Council/Housing Association,4,converted flat,Wales,Wales,5 or more
122,8286.80968912102,43682.301042856,Over 250,1945 to 1964,Privately rented,4,end terrace,York and Humber,England,2
123,15199.5244238738,30090.6709818261,Over 250,Pre 1919,Council/Housing Association,6,semi-detached,London,England,5 or more
124,10338.5000638115,18295.3851758981,Over 250,1919 to 1944,Privately rented,3,mid terraced,East Midlands,England,2
125,14653.6354124503,33837.5382560972,51 to 100,1919 to 1944,Owner-occupied,6,semi-detached,West Midlands,England,4
126,12804.2864788333,43285.2616411412,50 or less,1984 to 1992,Unknown,5,end terrace,West Midlands,England,2
127,11998.8063966684,16081.7249616912,50 or less,Post 1999,Unknown,4,bungalow,East Midlands,England,2
128,5881.33080014455,22446.1371104667,50 or less,1945 to 1964,Owner-occupied,3,converted flat,East of England,England,4
129,9349.36428857828,32606.8322474786,50 or less,1965 to 1983,Privately rented,5,mid terraced,East of England,England,1
130,15439.3304820375,,Over 250,1984 to 1992,Unknown,6,purpose built flat,West Midlands,England,4
131,17121.4322300876,30117.9786735447,151 to 200,1945 to 1964,Unknown,5,end terrace,East of England,England,2
132,12521.7985027213,45560.7240544136,50 or less,1919 to 1944,Privately rented,2,purpose built flat,Wales,Wales,1
133,14662.2101846569,,50 or less,Pre 1919,Privately rented,6,end terrace,York and Humber,England,2
134,19528.7558487186,28602.0795198722,51 to 100,1919 to 1944,Owner-occupied,5,purpose built flat,East Midlands,England,4
135,20902.1312932687,28986.0872744318,Over 250,1965 to 1983,Privately rented,5,detached,North West,England,5 or more
136,9905.48818765335,,Over 250,Pre 1919,Council/Housing Association,4,end terrace,South West,England,2
137,14152.9789551109,32745.2126190244,Over 250,1965 to 1983,Council/Housing Association,6,detached,York and Humber,England,4
138,19871.4133730213,35559.2260685568,Over 250,1984 to 1992,Unknown,5,mid terraced,London,England,2
139,12624.7673225908,41289.337364999,201 to 250,Pre 1919,Owner-occupied,6,semi-detached,London,England,2
140,14434.2352700345,35001.5006722243,50 or less,Pre 1919,Council/Housing Association,4,converted flat,Wales,Wales,1
141,14285.9043430081,32095.4374404977,50 or less,1984 to 1992,Owner-occupied,4,bungalow,York and Humber,England,5 or more
142,10812.5241399949,24035.0676036127,50 or less,1965 to 1983,Unknown,4,unknown,Unknown,Unknown,5 or more
143,12733.665340269,19435.893245423,201 to 250,Pre 1919,Council/Housing Association,5,mid terraced,North West,England,1
144,14533.1995843589,15005.0239594964,50 or less,1984 to 1992,Council/Housing Association,6,purpose built flat,South East,England,3
145,12867.4088533134,33685.4842461896,Over 250,1993 to 1999,Unknown,4,converted flat,North East,England,2
146,19486.561167007,38438.7241820226,201 to 250,1984 to 1992,Owner-occupied,7,converted flat,Wales,Wales,5 or more
147,12576.3911556607,44168.0585277839,51 to 100,Post 1999,Unknown,4,end terrace,East of England,England,5 or more
148,12780.4650213343,34328.4278019465,51 to 100,Pre 1919,Council/Housing Association,7,semi-detached,East Midlands,England,5 or more
149,17681.9165534995,43880.4332249942,201 to 250,Post 1999,Owner-occupied,4,converted flat,South West,England,4
150,10080.4846643684,29330.9793623337,201 to 250,1919 to 1944,Owner-occupied,6,mid terraced,East of England,England,3
151,14482.2290735399,25627.6362601929,Over 250,Pre 1919,Unknown,7,mid terraced,East of England,England,5 or more
152,7931.79904102852,29546.248506785,50 or less,1945 to 1964,Owner-occupied,4,bungalow,North East,England,2
153,19721.0566791453,41610.0982081962,Over 250,1984 to 1992,Council/Housing Association,7,detached,South West,England,5 or more
154,13472.6554416883,24643.164774653,101 to 150,1984 to 1992,Unknown,4,semi-detached,South West,England,3
155,12631.0821147917,31191.283903673,50 or less,Post 1999,Owner-occupied,5,end terrace,South West,England,2
156,9292.36761255979,46884.7013952599,151 to 200,1919 to 1944,Unknown,3,mid terraced,North West,England,4
157,14626.8855434543,22858.9705519568,51 to 100,1993 to 1999,Council/Housing Association,4,mid terraced,York and Humber,England,4
158,11189.1329066142,43809.9635660657,Over 250,Pre 1919,Privately rented,5,converted flat,East Midlands,England,5 or more
159,12347.0621361222,29056.2040000403,Over 250,Pre 1919,Owner-occupied,4,converted flat,York and Humber,England,4
160,20245.0230285808,52807.9361768674,51 to 100,Post 1999,Owner-occupied,6,end terrace,South East,England,3
161,13899.2215423827,24822.8324275592,50 or less,Pre 1919,Council/Housing Association,5,end terrace,York and Humber,England,4
162,10012.119085708,28266.4349882705,201 to 250,1984 to 1992,Unknown,1,bungalow,Wales,Wales,3
163,15369.4612989537,37059.2533793534,151 to 200,Pre 1919,Privately rented,5,converted flat,North West,England,2
164,13087.3003733978,30855.3462406696,201 to 250,Post 1999,Unknown,5,semi-detached,South East,England,1
165,17220.3644238786,42130.3393953622,Over 250,1945 to 1964,Owner-occupied,4,detached,London,England,2
166,20869.0722761698,38000.0966515839,51 to 100,Post 1999,Unknown,5,end terrace,Wales,Wales,3
167,10356.7895679836,40527.7118503046,50 or less,Pre 1919,Owner-occupied,5,end terrace,South West,England,4
168,16631.9137009205,36985.1350268981,151 to 200,1945 to 1964,Unknown,4,purpose built flat,East Midlands,England,4
169,15029.7516306253,40291.6690544385,151 to 200,1965 to 1983,Privately rented,5,mid terraced,North East,England,2
170,18542.4934502624,26185.6849535965,201 to 250,1965 to 1983,Council/Housing Association,6,end terrace,North East,England,3
171,13665.9610913076,26317.1852477787,50 or less,Post 1999,Council/Housing Association,6,end terrace,North East,England,4
172,18286.6256036722,47212.1798035889,Over 250,Post 1999,Unknown,6,mid terraced,North East,England,2
173,7094.67637676501,30772.540832793,Over 250,Pre 1919,Owner-occupied,5,converted flat,Wales,Wales,5 or more
174,21985.0627105342,39386.4747165246,Over 250,1993 to 1999,Council/Housing Association,6,detached,York and Humber,England,4
175,18411.0677261453,36122.9088337454,101 to 150,Pre 1919,Owner-occupied,6,mid terraced,East Midlands,England,5 or more
176,14006.0639782011,39872.5653429966,50 or less,Post 1999,Council/Housing Association,4,converted flat,East of England,England,5 or more
177,8379.83885741827,25182.7026458081,50 or less,Post 1999,Council/Housing Association,3,bungalow,North East,England,2
178,17446.558726367,36898.8761548653,50 or less,1984 to 1992,Council/Housing Association,7,end terrace,East of England,England,2
179,16756.913809921,20120.2840841264,101 to 150,Pre 1919,Unknown,7,purpose built flat,London,England,4
180,14631.952537714,50017.1736799207,Over 250,1945 to 1964,Unknown,5,purpose built flat,West Midlands,England,5 or more
181,15318.9011753448,41264.4628585747,151 to 200,1919 to 1944,Privately rented,4,detached,East of England,England,4
182,12127.1200077556,38744.9869256597,Over 250,Post 1999,Council/Housing Association,5,mid terraced,London,England,2
183,16258.2060301172,17205.8001025695,50 or less,1984 to 1992,Unknown,4,converted flat,South East,England,2
184,15938.3931403401,34516.8029010305,50 or less,1945 to 1964,Privately rented,6,mid terraced,South East,England,4
185,13449.6434583436,28438.4975391867,50 or less,1919 to 1944,Council/Housing Association,6,end terrace,East of England,England,3
186,8865.97870515127,14884.0716959831,50 or less,1919 to 1944,Council/Housing Association,5,converted flat,Wales,Wales,2
187,17697.6254584129,43243.5296517509,50 or less,Pre 1919,Unknown,6,purpose built flat,London,England,5 or more
188,17064.6532063484,47358.7868897916,151 to 200,Post 1999,Council/Housing Association,6,end terrace,South West,England,5 or more
189,11032.4420227945,,201 to 250,1984 to 1992,Council/Housing Association,4,purpose built flat,South West,England,5 or more
190,7747.61638046772,24509.8811307758,50 or less,1945 to 1964,Unknown,5,purpose built flat,Unknown,Unknown,2
191,15550.2957149922,50332.9371940612,151 to 200,1965 to 1983,Council/Housing Association,4,detached,North East,England,3
192,13166.0944035553,16553.2114678876,50 or less,Post 1999,Owner-occupied,5,mid terraced,South West,England,4
193,15754.9864635433,41489.1186364828,151 to 200,1965 to 1983,Owner-occupied,4,purpose built flat,East of England,England,3
194,9049.16992571789,24997.6557533737,51 to 100,Pre 1919,Unknown,6,mid terraced,London,England,2
195,10502.8580047861,,51 to 100,1945 to 1964,Council/Housing Association,5,converted flat,West Midlands,England,2
196,19366.3858241475,32371.849880572,101 to 150,1984 to 1992,Unknown,6,converted flat,North West,England,2
197,16412.7882371601,45431.7249654342,Over 250,Pre 1919,Owner-occupied,5,detached,East Midlands,England,2
198,17204.5924625994,25413.5336317074,50 or less,Post 1999,Unknown,4,purpose built flat,Wales,Wales,1
199,22529.8787632444,50195.782317154,51 to 100,1965 to 1983,Owner-occupied,4,mid terraced,Wales,Wales,4
200,15220.1792710445,47154.2524726014,151 to 200,Pre 1919,Privately rented,5,end terrace,Unknown,Unknown,1
201,5983.85882140682,9568.94774128122,50 or less,Pre 1919,Owner-occupied,3,purpose built flat,East of England,England,1
202,16107.6576203804,,Over 250,1984 to 1992,Privately rented,6,detached,South East,England,5 or more
203,19737.7608110068,43981.9393645833,201 to 250,Post 1999,Privately rented,3,end terrace,North West,England,5 or more
204,23589.4152011377,33292.2488613968,Over 250,1984 to 1992,Privately rented,6,end terrace,South West,England,5 or more
205,8688.78708610442,21113.9532515825,201 to 250,Pre 1919,Council/Housing Association,4,end terrace,Wales,Wales,4
206,9670.06510245919,24383.5371598782,50 or less,Pre 1919,Owner-occupied,5,mid terraced,East Midlands,England,3
207,11601.7796149485,27222.9420002962,50 or less,Post 1999,Unknown,4,end terrace,North East,England,2
208,10090.703011951,35540.9052774336,Over 250,1984 to 1992,Privately rented,5,mid terraced,South East,England,5 or more
209,11859.2795286297,25062.1212117332,Over 250,1945 to 1964,Council/Housing Association,6,mid terraced,Wales,Wales,5 or more
210,13856.7984154211,33497.5826306362,151 to 200,1965 to 1983,Privately rented,5,converted flat,South East,England,3
211,9451.84247063492,35226.9837594489,50 or less,1993 to 1999,Owner-occupied,4,purpose built flat,West Midlands,England,2
212,23490.3214592312,27733.1427391416,50 or less,1965 to 1983,Unknown,7,detached,South West,England,4
213,15127.1434697809,27462.7852941632,50 or less,1945 to 1964,Privately rented,5,end terrace,North East,England,4
214,14296.9136549641,41136.3503671234,Over 250,Post 1999,Unknown,5,purpose built flat,York and Humber,England,3
215,16808.8203740514,32046.4269296791,50 or less,1945 to 1964,Unknown,7,converted flat,London,England,5 or more
216,14821.6854682923,,201 to 250,Pre 1919,Privately rented,6,mid terraced,North East,England,5 or more
217,14088.0343642229,24869.6814747056,50 or less,1945 to 1964,Owner-occupied,5,mid terraced,London,England,2
218,21064.327139722,47382.1187509221,Over 250,1965 to 1983,Unknown,6,end terrace,London,England,5 or more
219,13717.4266073473,28539.4863766069,Over 250,1984 to 1992,Privately rented,6,mid terraced,West Midlands,England,4
220,9093.48789549001,24197.0866852213,151 to 200,1919 to 1944,Owner-occupied,4,purpose built flat,North East,England,5 or more
221,16332.1110219869,33735.4167547904,151 to 200,1993 to 1999,Unknown,5,unknown,London,England,5 or more
222,13135.7291222112,38681.6370248153,Over 250,1965 to 1983,Unknown,5,detached,Wales,Wales,5 or more
223,12396.2042798743,26635.743321687,50 or less,Pre 1919,Owner-occupied,3,mid terraced,Unknown,Unknown,1
224,10027.9776549285,33350.2247887315,151 to 200,Pre 1919,Owner-occupied,5,end terrace,North West,England,4
225,16516.6325402895,40639.0912183248,101 to 150,1965 to 1983,Council/Housing Association,5,semi-detached,West Midlands,England,2
226,13904.5263612306,23182.4122528196,50 or less,1965 to 1983,Unknown,5,purpose built flat,East Midlands,England,3
227,16896.0741937945,35073.5348319787,Over 250,Post 1999,Privately rented,6,mid terraced,York and Humber,England,2
228,13642.6599373905,27419.1284101341,50 or less,1945 to 1964,Council/Housing Association,5,converted flat,East of England,England,2
229,11805.5084155605,34545.2495089897,50 or less,1945 to 1964,Unknown,5,mid terraced,South West,England,5 or more
230,20082.6978108773,24679.2634530409,50 or less,Post 1999,Privately rented,6,end terrace,East of England,England,2
231,13482.3173288094,46690.448724638,Over 250,Post 1999,Privately rented,5,mid terraced,South West,England,2
232,18771.1618521481,50085.7456918023,101 to 150,1984 to 1992,Privately rented,5,detached,North West,England,2
233,9450.01261058168,20447.7341135126,151 to 200,1919 to 1944,Unknown,6,purpose built flat,South West,England,5 or more
234,12641.2301963506,25200.2079954144,Over 250,1984 to 1992,Owner-occupied,5,unknown,London,England,5 or more
235,13492.6354938637,23810.6845396054,201 to 250,1965 to 1983,Council/Housing Association,6,unknown,West Midlands,England,2
236,12966.7912497247,30509.248647934,101 to 150,Post 1999,Unknown,4,purpose built flat,London,England,5 or more
237,20506.5462828286,34519.3293056965,51 to 100,1984 to 1992,Owner-occupied,5,converted flat,North West,England,5 or more
238,14560.3404382954,34408.5617067065,Over 250,1965 to 1983,Owner-occupied,5,converted flat,York and Humber,England,2
239,15717.8295953419,16958.149594677,50 or less,1919 to 1944,Unknown,6,unknown,East Midlands,England,3
240,10574.4676546498,30918.1843163607,50 or less,1984 to 1992,Council/Housing Association,5,purpose built flat,East Midlands,England,5 or more
241,11497.937872067,30490.1007351502,201 to 250,1993 to 1999,Owner-occupied,5,bungalow,South West,England,2
242,18988.6348177294,22741.2444360053,Over 250,1945 to 1964,Unknown,6,converted flat,York and Humber,England,4
243,20117.0926668773,41401.39292188,51 to 100,1965 to 1983,Privately rented,6,end terrace,London,England,4
244,20076.7361763202,39294.069861138,51 to 100,1945 to 1964,Council/Housing Association,6,end terrace,North East,England,4
245,8675.04406739897,25411.9074555504,51 to 100,1984 to 1992,Council/Housing Association,5,bungalow,London,England,4
246,23548.277367508,42070.8430754977,201 to 250,Post 1999,Council/Housing Association,5,mid terraced,London,England,5 or more
247,19070.0872256173,41390.2006162563,50 or less,1965 to 1983,Privately rented,5,detached,East Midlands,England,5 or more
248,14544.3456689632,36581.3442194973,151 to 200,Post 1999,Unknown,5,mid terraced,Wales,Wales,2
249,17711.454923565,32417.4697887977,50 or less,Post 1999,Council/Housing Association,4,bungalow,West Midlands,England,5 or more
250,10446.9967785745,40067.1037646327,151 to 200,Pre 1919,Privately rented,4,bungalow,North West,England,1
251,9907.46017325205,28438.3887658335,50 or less,1965 to 1983,Privately rented,6,semi-detached,East of England,England,2
252,14872.2037826201,32393.9299368359,51 to 100,1919 to 1944,Owner-occupied,6,semi-detached,London,England,5 or more
253,9462.96266393018,37175.3833053781,50 or less,Pre 1919,Owner-occupied,4,end terrace,South East,England,1
254,15485.3309697759,43541.7730596291,201 to 250,Post 1999,Unknown,5,bungalow,Wales,Wales,2
255,20288.5823118197,32435.3964721562,50 or less,1965 to 1983,Council/Housing Association,5,mid terraced,East Midlands,England,3
256,10176.4145196065,19775.5576655332,50 or less,1965 to 1983,Owner-occupied,5,purpose built flat,South West,England,4
257,11459.2418152377,23704.9862094094,50 or less,1965 to 1983,Council/Housing Association,5,converted flat,North West,England,5 or more
